华为15000.txt,112,853,1436
华为15766.txt,114,812,1331
华为15772.txt,139,995,1633
华为15014.txt,132,1021,1699
思科1834.txt,43,707,1092
华为15982.txt,192,1479,2372
中兴15585.txt,51,539,1082
华为15996.txt,194,1421,2271
中兴15591.txt,47,487,961
思科1820.txt,43,843,1333
华为15028.txt,173,1254,2008
华为15969.txt,158,1156,1881
中兴14670.txt,61,651,1300
中兴15546.txt,50,477,890
华为15799.txt,135,1024,1701
华为15941.txt,94,703,1212
中兴15552.txt,61,597,1196
华为15955.txt,116,862,1459
华为15202.txt,128,973,1616
华三15389.txt,65,481,499
华为16079.txt,90,643,1113
华为16051.txt,87,623,1082
华为16045.txt,159,1120,1778
华为14861.txt,79,556,995
思科2118.txt,53,917,1461
华三15438.txt,111,678,638
华为14875.txt,87,612,1049
华三15410.txt,71,533,541
烽火通信6664.txt,83,834,1006
思科2124.txt,26,438,655
华三15376.txt,62,460,486
思科2130.txt,53,915,1454
烽火通信6670.txt,64,620,641
华为14849.txt,103,717,1226
华为16086.txt,93,662,1136
华三15404.txt,69,515,527
华为14915.txt,179,1299,2074
中兴15618.txt,50,498,947
华为14901.txt,109,804,1337
中兴15630.txt,50,497,947
华为14929.txt,106,762,1297
思科2050.txt,171,1884,2525
思科2044.txt,171,1912,2559
中兴15624.txt,49,501,1000
华为15174.txt,151,1161,1920
华为15160.txt,152,1170,1925
思科1968.txt,186,1613,1790
华为15148.txt,125,956,1605
思科1940.txt,85,1097,1627
思科1954.txt,94,1312,1984
中兴15368.txt,70,728,1500
中兴14710.txt,49,539,1098
华为15809.txt,103,764,1305
中兴14704.txt,70,731,1520
思科1773.txt,45,897,1423
思科1983.txt,186,1615,1796
中兴15354.txt,65,708,1440
华为15835.txt,98,701,1191
中兴14738.txt,73,774,1590
华为15821.txt,98,721,1228
中兴15340.txt,1540,23013,58083
思科2246.txt,273,2142,2281
思科1997.txt,26,446,675
华为15820.txt,98,721,1228
中兴14739.txt,73,774,1590
思科1996.txt,26,446,675
思科2247.txt,26,448,678
中兴15341.txt,51,534,1089
中兴15355.txt,58,599,1181
思科1982.txt,186,1615,1796
华为15834.txt,98,701,1191
中兴14705.txt,1102,17669,44183
思科1772.txt,120,1863,2914
中兴15369.txt,45,452,883
华为15808.txt,103,764,1305
中兴14711.txt,72,794,1632
思科1955.txt,93,1310,1987
思科1941.txt,91,1300,1979
华为15149.txt,121,904,1527
思科1969.txt,186,1613,1790
华为15161.txt,155,1181,1932
华为15175.txt,151,1161,1920
思科2045.txt,163,1529,1958
中兴15625.txt,49,501,1000
华为14928.txt,92,664,1126
中兴15631.txt,50,497,947
思科2051.txt,170,1881,2526
华为14900.txt,86,615,1065
中兴15619.txt,50,498,947
华为14914.txt,179,1299,2074
思科2131.txt,53,927,1470
华三15405.txt,62,460,486
华为16087.txt,93,662,1136
华为14848.txt,167,1244,2009
烽火通信6671.txt,75,594,579
烽火通信6665.txt,61,601,622
华三15411.txt,74,551,554
华三15377.txt,62,460,486
思科2125.txt,52,910,1456
华为14874.txt,86,595,1054
华三15439.txt,97,764,728
华为14860.txt,85,647,1133
烽火通信6659.txt,63,601,621
思科2119.txt,53,915,1454
华为16044.txt,94,666,1155
