ipv4,text,line
573B:B493:D933:3:4333::7C/1,华为5822.txt,775
5731:4B7:44:3:4333::7C/1,华为5822.txt,786
573B:B493:D933:3:4333::70/1,华为5822.txt,824
5731:4B7:44:3:4333::70/1,华为5822.txt,835
573B:B493:D933:3:4333::84/1,华为5822.txt,873
5731:4B7:44:3:4333::84/1,华为5822.txt,884
8A6E:E7C7:CF66::1B/1,中兴16138.txt,248
8A64:7E6:E68F::1B/1,中兴16138.txt,276
8A6E:E7C7:CF66::963/1,中兴16138.txt,303
8A64:7E6:E68F::963/1,中兴16138.txt,331
8A6E:E7C7:CF66::83F/1,中兴16138.txt,358
8A64:7E6:E68F::83F/1,中兴16138.txt,386
8A6E:E7C7:CF66::9BF/1,中兴16138.txt,431
8A64:7E6:E68F::9BF/1,中兴16138.txt,459
8A6E:E7C7:CF66::707/1,中兴16138.txt,486
8A64:7E6:E68F::707/1,中兴16138.txt,514
8A6E:E7C7:CF66::8F3/1,中兴16138.txt,541
8A64:7E6:E68F::8F3/1,中兴16138.txt,569
8A6E:E7C7:CF66::96F/1,中兴16138.txt,604
8A64:7E6:E68F::96F/1,中兴16138.txt,632
8A6E:E7C7:CF66::9BB/1,中兴16138.txt,659
8A64:7E6:E68F::9BB/1,中兴16138.txt,687
5333::4,中兴9963.txt,21
5333::4,中兴9963.txt,23
5333::B/6,中兴9963.txt,525
573B:B494:DE33:222::2:4/1,中兴9963.txt,1016
::/0,中兴9963.txt,1017
::/0,中兴9963.txt,1444
::/0,中兴9963.txt,1545
462A:A385:0322:8222::5/1,华为5412.txt,279
462A:A385:0322:8224::5/1,华为5412.txt,289
462A:A385:0322:8111::5/1,华为5412.txt,299
462A:A385:0322:8232::8/1,华为5412.txt,336
462A:A385:0322:8234::8/1,华为5412.txt,346
462A:A385:0322:8111::4,华为5412.txt,993
462A:A385:0322:8111::4,华为5412.txt,994
462A:A385:0322:8111::4,华为5412.txt,995
462A:A385:0322:8111::4,华为5412.txt,996
462A:A385:0322:8111::4,华为5412.txt,997
462A:A385:0322:8222::4,华为5412.txt,1003
462A:A385:0322:8222::4,华为5412.txt,1004
462A:A385:0322:8222::4,华为5412.txt,1005
462A:A385:0322:8222::4,华为5412.txt,1006
462A:A385:0322:8222::4,华为5412.txt,1007
462A:A385:0322:8222::4,华为5412.txt,1008
462A:A385:0322:8222::4,华为5412.txt,1009
462A:A385:0322:8232::7,华为5412.txt,1010
462A:A385:0322:8232::7,华为5412.txt,1011
462A:A385:0322:8232::7,华为5412.txt,1012
462A:A385:0322:8232::7,华为5412.txt,1013
462A:A385:0322:8232::7,华为5412.txt,1014
462A:A385:0322:8232::7,华为5412.txt,1015
462A:A385:0322:8224::4,华为5412.txt,1021
462A:A385:0322:8224::4,华为5412.txt,1022
462A:A385:0322:8224::4,华为5412.txt,1023
462A:A385:0322:8224::4,华为5412.txt,1024
462A:A385:0322:8224::4,华为5412.txt,1025
462A:A385:0322:8224::4,华为5412.txt,1026
462A:A385:0322:8234::7,华为5412.txt,1027
462A:A385:0322:8234::7,华为5412.txt,1028
462A:A385:0322:8234::7,华为5412.txt,1029
462A:A385:0322:8234::7,华为5412.txt,1030
462A:A385:0322:8234::7,华为5412.txt,1031
462A:A385:0322:8234::7,华为5412.txt,1032
4222::3,中兴5397.txt,21
4222::3,中兴5397.txt,23
4222::A/6,中兴5397.txt,487
462A:A385:0322:1222::3/1,中兴5397.txt,523
462A:A385:0322:1224::3/1,中兴5397.txt,538
462A:A385:0322:1111::3/1,中兴5397.txt,553
462A:A365:0217:322::/6,中兴5397.txt,790
462A:A365:0217:332::/6,中兴5397.txt,791
462A:A365:0217:342::/6,中兴5397.txt,792
462A:A365:0217:352::/6,中兴5397.txt,793
462A:A365:8211:11A2::/6,中兴5397.txt,794
462A:A365:8211:1132::/6,中兴5397.txt,795
462A:A365:8211:11B2::/6,中兴5397.txt,796
462A:A365:8211:1122::/6,中兴5397.txt,797
462A:A385:0322:1222::/6,中兴5397.txt,798
462A:A385:0322:1232::/6,中兴5397.txt,799
462A:A385:0322:1224::/6,中兴5397.txt,800
462A:A385:0322:1234::/6,中兴5397.txt,801
462A:A385:0322:1222::/6,中兴5397.txt,1169
462A:A385:0322:1232::/6,中兴5397.txt,1170
462A:A385:0322:1224::/6,中兴5397.txt,1171
462A:A385:0322:1234::/6,中兴5397.txt,1172
462A:A385:0322:1222::/6,中兴5397.txt,1198
462A:A385:0322:1232::/6,中兴5397.txt,1199
462A:A385:0322:1224::/6,中兴5397.txt,1218
462A:A385:0322:1234::/6,中兴5397.txt,1219
::C67E:3833:32DC:9A44/1,烽火通信1323.txt,119
684C:C5A4:C044:4:4:57:4:69/1,烽火通信1323.txt,367
684C:C5A4:C044:333:4:57:4:69/1,烽火通信1323.txt,387
684C:C5A4:C044:4:4:57:4:6D/1,烽火通信1323.txt,407
684C:C5A4:C044:333:4:57:4:6D/1,烽火通信1323.txt,427
684C:C5A4:C044:4:4:57:4:D1/1,烽火通信1323.txt,447
684C:C5A4:C044:333:4:57:4:D1/1,烽火通信1323.txt,467
684C:C5A4:C044:4:4:57:4:51/1,烽火通信1323.txt,487
684C:C5A4:C044:333:4:57:4:51/1,烽火通信1323.txt,507
6842:5C8:8451:4:4:57:4:69/1,烽火通信1323.txt,541
6842:5C8:8451:4:4:57:4:6D/1,烽火通信1323.txt,593
6842:5C8:8451:4:4:57:4:D1/1,烽火通信1323.txt,627
6842:5C8:8451:4:4:57:4:51/1,烽火通信1323.txt,679
684C:C5A4:C544:333:4:32:53:3377,烽火通信1323.txt,981
7555::6,中兴7.txt,21
7555::6,中兴7.txt,23
7555::D/6,中兴7.txt,431
795D:D678:7555::6A/1,中兴7.txt,439
795D:D678:7555::759E/1,中兴7.txt,503
795D:D678:7555::959E/1,中兴7.txt,515
795D:D678:7555::859E/1,中兴7.txt,527
795D:D678:7555::656D/1,中兴7.txt,556
795D:D678:7555::75ED/1,中兴7.txt,577
795D:D678:7555::85ED/1,中兴7.txt,589
795D:D697:3544:4455::/6,中兴7.txt,1137
795D:D697:3544:4495::/6,中兴7.txt,1138
795D:D698:7545:6455::/5,中兴7.txt,1139
795D:D6B8:7355::/5,中兴7.txt,1140
795D:D678:7555::859,中兴7.txt,1665
795D:D678:7555::859,中兴7.txt,1666
795D:D678:7555::859,中兴7.txt,1667
795D:D678:7555::859,中兴7.txt,1670
795D:D678:7555::85,中兴7.txt,1675
795D:D678:7555::85,中兴7.txt,1676
795D:D678:7555::85,中兴7.txt,1677
795D:D678:7555::85,中兴7.txt,1678
795D:D678:7555::85,中兴7.txt,1681
795D:D678:7555::85,中兴7.txt,1686
795D:D678:7555::759,中兴7.txt,1695
795D:D678:7555::759,中兴7.txt,1696
795D:D678:7555::759,中兴7.txt,1697
795D:D678:7555::759,中兴7.txt,1700
795D:D678:7555::759,中兴7.txt,1705
795D:D678:7555::75,中兴7.txt,1706
795D:D678:7555::75,中兴7.txt,1707
795D:D678:7555::75,中兴7.txt,1708
795D:D678:7555::75,中兴7.txt,1709
795D:D678:7555::75,中兴7.txt,1712
795D:D678:7555::75,中兴7.txt,1717
795D:D678:7555::75,中兴7.txt,1718
